tax_status,year,month,type,month_current,tax_rate
Taxable,2019,7,In bottles and cans,13608099,$3.50/$16 per barrel
Taxable,2019,7,In barrels and kegs,1208898,$3.50/$16 per barrel
Taxable,2019,7,"Tax Determined, Premises Use",3312,$3.50/$16 per barrel
Tax Free,2019,7,For export,484266,$3.50/$16 per barrel
Tax Free,2019,7,Consumed on brewery premises,949,$3.50/$16 per barrel
Taxable,2019,8,In bottles and cans,13140604,$3.50/$16 per barrel
Taxable,2019,8,In barrels and kegs,1180431,$3.50/$16 per barrel
Taxable,2019,8,"Tax Determined, Premises Use",2962,$3.50/$16 per barrel
Tax Free,2019,8,For export,440332,$3.50/$16 per barrel
Tax Free,2019,8,For vessels and aircraft,34086,$3.50/$16 per barrel
Tax Free,2019,8,Consumed on brewery premises,854,$3.50/$16 per barrel
Taxable,2019,9,In bottles and cans,12528418,$3.50/$16 per barrel
Taxable,2019,9,In barrels and kegs,1297699,$3.50/$16 per barrel
Taxable,2019,9,"Tax Determined, Premises Use",888468,$3.50/$16 per barrel
Tax Free,2019,9,For export,434759,$3.50/$16 per barrel
Tax Free,2019,9,For vessels and aircraft,2,$3.50/$16 per barrel
Tax Free,2019,9,Consumed on brewery premises,28666,$3.50/$16 per barrel
Taxable,2019,10,In bottles and cans,11965871,$3.50/$16 per barrel
Taxable,2019,10,In barrels and kegs,1199168,$3.50/$16 per barrel
Taxable,2019,10,"Tax Determined, Premises Use",2861,$3.50/$16 per barrel
Tax Free,2019,10,For export,515181,$3.50/$16 per barrel
Tax Free,2019,10,For vessels and aircraft,0,$3.50/$16 per barrel
Tax Free,2019,10,Consumed on brewery premises,1077,$3.50/$16 per barrel
Taxable,2019,11,In bottles and cans,11355468,$3.50/$16 per barrel
Taxable,2019,11,In barrels and kegs,1038243,$3.50/$16 per barrel
Taxable,2019,11,"Tax Determined, Premises Use",2622,$3.50/$16 per barrel
Tax Free,2019,11,For export,326437,$3.50/$16 per barrel
Tax Free,2019,11,For vessels and aircraft,0,$3.50/$16 per barrel
Tax Free,2019,11,Consumed on brewery premises,752,$3.50/$16 per barrel
Taxable,2019,12,In bottles and cans,11669254,$3.50/$16 per barrel
Taxable,2019,12,In barrels and kegs,1253497,$3.50/$16 per barrel
Taxable,2019,12,"Tax Determined, Premises Use",902554,$3.50/$16 per barrel
Tax Free,2019,12,For export,361068,$3.50/$16 per barrel
Tax Free,2019,12,For vessels and aircraft,1,$3.50/$16 per barrel
Tax Free,2019,12,Consumed on brewery premises,23886,$3.50/$16 per barrel
