tax_status,year,month,type,month_current,tax_rate
Taxable,2010,7,In bottles and cans,15254822,$7/$18 per barrel
Taxable,2010,7,In barrels and kegs,1472824,$7/$18 per barrel
Taxable,2010,7,"Tax Determined, Premises Use",7120,$7/$18 per barrel
Tax Free,2010,7,For export,371171,$7/$18 per barrel
Tax Free,2010,7,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2010,7,Consumed on brewery premises,1106,$7/$18 per barrel
Taxable,2010,8,In bottles and cans,15357493,$7/$18 per barrel
Taxable,2010,8,In barrels and kegs,1518152,$7/$18 per barrel
Taxable,2010,8,"Tax Determined, Premises Use",6839,$7/$18 per barrel
Tax Free,2010,8,For export,312781,$7/$18 per barrel
Tax Free,2010,8,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2010,8,Consumed on brewery premises,1126,$7/$18 per barrel
Taxable,2010,9,In bottles and cans,13213621,$7/$18 per barrel
Taxable,2010,9,In barrels and kegs,1623762,$7/$18 per barrel
Taxable,2010,9,"Tax Determined, Premises Use",125524,$7/$18 per barrel
Tax Free,2010,9,For export,337550,$7/$18 per barrel
Tax Free,2010,9,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2010,9,Consumed on brewery premises,6613,$7/$18 per barrel
Taxable,2010,10,In bottles and cans,12458328,$7/$18 per barrel
Taxable,2010,10,In barrels and kegs,1357309,$7/$18 per barrel
Taxable,2010,10,"Tax Determined, Premises Use",6888,$7/$18 per barrel
Tax Free,2010,10,For export,332671,$7/$18 per barrel
Tax Free,2010,10,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2010,10,Consumed on brewery premises,1006,$7/$18 per barrel
Taxable,2010,11,In bottles and cans,11950035,$7/$18 per barrel
Taxable,2010,11,In barrels and kegs,1338822,$7/$18 per barrel
Taxable,2010,11,"Tax Determined, Premises Use",6891,$7/$18 per barrel
Tax Free,2010,11,For export,352475,$7/$18 per barrel
Tax Free,2010,11,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2010,11,Consumed on brewery premises,747,$7/$18 per barrel
Taxable,2010,12,In bottles and cans,12290553,$7/$18 per barrel
Taxable,2010,12,In barrels and kegs,1465815,$7/$18 per barrel
Taxable,2010,12,"Tax Determined, Premises Use",114262,$7/$18 per barrel
Tax Free,2010,12,For export,330460,$7/$18 per barrel
Tax Free,2010,12,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2010,12,Consumed on brewery premises,6237,$7/$18 per barrel
Taxable,2011,1,In bottles and cans,11571819,$7/$18 per barrel
Taxable,2011,1,In barrels and kegs,1245125,$7/$18 per barrel
Taxable,2011,1,"Tax Determined, Premises Use",5989,$7/$18 per barrel
Tax Free,2011,1,For export,264669,$7/$18 per barrel
Tax Free,2011,1,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2011,1,Consumed on brewery premises,886,$7/$18 per barrel
Taxable,2011,2,In bottles and cans,11509264,$7/$18 per barrel
Taxable,2011,2,In barrels and kegs,1234147,$7/$18 per barrel
